"character" "dialogue"
"1" "SHUTTLE CAPTAIN" "Command station, this is ST 321. Code Clearance Blue. We're starting our approach. Deactivate the security shield."
"2" "DEATH STAR CONTROLLER" "The security deflector shield will be deactivated when we have confirmation of your code transmission. Stand by... You are clear to proceed."
"3" "SHUTTLE CAPTAIN" "We're starting our approach."
"4" "OFFICER" "Inform the commander that Lord Vader's shuttle has arrived."
"5" "OPERATOR" "Yes, sir."
"6" "JERJERROD" "Lord Vader, this is an unexpected pleasure.  We're honored by your presence."
"7" "VADER" "You may dispense with the pleasantries, Commander. I'm here to put you back on schedule."
"8" "JERJERROD" "I assure you, Lord Vader, my men are working as fast as they can."
"9" "VADER" "Perhaps I can find new ways to motivate them."
"10" "JERJERROD" "I tell you, this station will be operational as planned."
"11" "VADER" "The Emperor does not share your optimistic appraisal of the situation."
"12" "JERJERROD" "But he asks the impossible. I need more men."
"13" "VADER" "Then perhaps you can tell him when he arrives."
"14" "JERJERROD" "The Emperor's coming here?"
"15" "VADER" "That is correct, Commander. And he is most displeased with your apparent lack of progress."
"16" "JERJERROD" "We shall double our efforts."
"17" "VADER" "I hope so, Commander, for your sake. The Emperor is not as forgiving as I am."
"18" "THREEPIO" "Of course I'm worried. And you should be, too. Lando Calrissian and poor Chewbacca never returned from this awful place."
"19" "THREEPIO" "Don't be so sure. If I told you half the things I've heard about this Jabba the Hutt, You'd probably short-circuit."
"20" "THREEPIO" "Artoo, are you sure this is the right place? I better knock, I suppose."
"21" "THREEPIO" "There doesn't seem to be anyone there. Let's go back and tell Master Luke."
"22" "STRANGE VOICE" "Tee chuta hhat yudd!"
"23" "THREEPIO" "Goodness gracious me!"
"24" "THREEPIO" "Artoo Detoowha bo Seethreepiowha ey toota odd mischka Jabba du Hutt."
"25" "THREEPIO" "I don't think they're going to let us in, Artoo. We'd better go."
"26" "THREEPIO" "Artoo, wait. Oh, dear! Artoo. Artoo, I really don't think we should rush into all this."
"27" "THREEPIO" "Oh, Artoo!  Artoo, wait for me!"
"28" "THREEPIO" "Just you deliver Master Luke's message and get us out of here. Oh my! Oh! Oh, no."
"29" "BIB" "Die Wanna Wanga!"
"30" "THREEPIO" "Oh, my! Die Wanna Wauaga. We -- we bring a message to your master, Jabba the Hutt."
"31" "THREEPIO" "... and a gift.  Gift, what gift?"
"32" "BIB" "Nee Jabba no badda. Me chaade su goodie."
"33" "THREEPIO" "He says that our instructions are to give it only to Jabba himself."
"34" "THREEPIO" "I'm terribly sorry. I'm afraid he's ever so stubborn about these sort of things."
"35" "BIB" "Nudd Chaa."
"36" "THREEPIO" "Artoo, I have a bad feeling about this."
"37" "THREEPIO" "Good morning."
"38" "JABBA" "Bo Shuda!"
"39" "THREEPIO" "The message, Artoo, the message."
"40" "LUKE" "Greetings, Exalted One. Allow me to introduce myself. I am Luke Skywalker, Jedi Knight and friend to Captain Solo. I know that you are powerful, mighty Jabba, and that your anger with Solo must be equally powerful. I seek an audience with Your Greatness to bargain for Solo's life.  With your wisdom, I'm sure that we can work out an arrangement which will be mutually beneficial and enable us to avoid any unpleasant confrontation. As a token of my goodwill, I present to you a gift: these two droids."
"41" "THREEPIO" "What did he say?"
"42" "LUKE" "... Both are hardworking and will serve you well."
"43" "THREEPIO" "This can't be! Artoo, you're playing the wrong message."
"44" "JABBA" "There will be no bargain."
"45" "THREEPIO" "We're doomed."
"46" "JABBA" "I will not give up my favorite decoration. I like Captain Solo where he is."
"47" "THREEPIO" "Artoo, look! Captain Solo. And he's still frozen in carbonite."
"48" "THREEPIO" "What could possibly have come over Master Luke. Is it something I did? He never expressed any unhappiness with my work. Oh! Oh! Hold it! Ohh!"
"49" "NINEDENINE" "Ah, good. New acquisitions. You are a protocol droid, are you not?"
"50" "THREEPIO" "I am See-Threepio, human-cy..."
"51" "NINEDENINE" "Yes or no will do."
"52" "THREEPIO" "Oh. Well, yes."
"53" "NINEDENINE" "How many languages do you speak?"
"54" "THREEPIO" "I am fluent in over six million forms of communication, and can readily..."
"55" "NINEDENINE" "Splendid! We have been without an interpreter since our master got angry with our last protocol droid and disintegrated him."
"56" "THREEPIO" "Disintegrated?"
"57" "NINEDENINE" "Guard! This protocol droid might be useful. Fit him with a restraining bolt and take him back to His Excellency's main audience chamber."
"58" "THREEPIO" "Artoo, don't leave me! Ohhh!"
"59" "NINEDENINE" "You're a feisty little one, but you'll soon learn some respect. I have need for you on the master's Sail Barge. And I think you'll fit in nicely."
"60" "JABBA" "Da Eitha!"
"61" "OOLA" "Na Chuba negatorie Na! Na! Natoota..."
"62" "JABBA" "Boscka!"
"63" "BOUSHH" "I have come for the bounty on this Wookiee."
"64" "THREEPIO" "Oh, no! Chewbacca!"
"65" "JABBA" "At last we have the mighty Chewbacca."
"66" "THREEPIO" "Oh, uh, yes, uh, I am here, Your Worshipfulness. Uh... yes!"
"67" "THREEPIO" "Oh. The illustrious Jabba bids you welcome and will gladly pay you the reward of twenty- five thousand."
"68" "BOUSHH" "I want fifty thousand. No less."
"69" "THREEPIO" "Uh, oh... but what, what did I say?  Uh, the mighty Jabba asks why he must pay fifty thousand."
"70" "THREEPIO" "Because he's holding a thermal detonator."
"71" "JABBA" "This bounty hunter is my kind of scum. Fearless and inventive."
"72" "THREEPIO" "Jabba offers the sum of thirty-five. And I suggest you take it."
"73" "BOUSHH" "Zeebuss."
"74" "THREEPIO" "He agrees!"
"75" "BOUSHH" "Just relax for a moment. You're free of the carbonite."
"76" "BOUSHH" "Shhh. You have hibernation sickness."
"77" "HAN" "I can't see."
"78" "BOUSHH" "You eyesight will return in time."
"79" "HAN" "Where am I?"
"80" "BOUSHH" "Jabba's palace."
"81" "HAN" "Who are you?"
"82" "LEIA" "Someone who loves you."
"83" "HAN" "Leia!"
"84" "LEIA" "I gotta get you out of here."
"85" "HAN" "What's that? I know that laugh."
"86" "HAN" "Hey, Jabba. Look, Jabba, I was just on my way to pay you back, but I got a little sidetracked. It's not my fault."
"87" "JABBA" "It's too late for that, Solo. You may have been a good smuggler, but now you're Bantha fodder."
"88" "HAN" "Look..."
"89" "JABBA" "Take him away!"
"90" "HAN" "Jabba... I'll pay you triple! You're throwing away a fortune here. Don't be a fool!"
"91" "JABBA" "Bring her to me."
"92" "LEIA" "We have powerful friends. You're gonna regret this..."
"93" "JABBA" "I'm sure."
"94" "LEIA" "Ugh!"
"95" "THREEPIO" "Ohhh, I can't bear to watch."
"96" "HAN" "Chewie? Chewie, is that you?"
"97" "HAN" "Ah! Chew--Chewie!"
"98" "HAN" "Wait. I can't see, pal. What's goin' on?"
"99" "HAN" "Luke? Luke's crazy. He can't even take care of himself, much less rescue anybody."
"100" "HAN" "A...Jedi Knight? I--I'm out of it for a little while, everybody gets delusions of grandeur."
"101" "HAN" "I'm all right, pal. I'm all right."
"102" "LUKE" "I must speak with Jabba."
"103" "LUKE" "You will take me to Jabba now!"
"104" "LUKE" "You serve your master well."
"105" "LUKE" "And you will be rewarded."
"106" "THREEPIO" "At last! Master Luke's come to rescue me."
"107" "BIB" "Master."
"108" "BIB" "...Luke Skywalker, Jedi Knight."
"109" "JABBA" "I told you not to admit him."
"110" "LUKE" "I must be allowed to speak."
"111" "BIB" "He must be allowed to speak."
"112" "JABBA" "You weak-minded fool! He's using an old Jedi mind trick."
"113" "LUKE" "You will bring Captain Solo and the Wookiee to me."
"114" "JABBA" "Your mind powers will not work on me, boy."
"115" "LUKE" "Nevertheless, I'm taking Captain Solo and his friends. You can either profit by this... or be destroyed! It's your choice. But I warn you not to underestimate my powers."
"116" "THREEPIO" "Master Luke, you're standing on..."
"117" "JABBA" "There will be no bargain, young Jedi. I shall enjoy watching you die."
"118" "JABBA" "Bascka!"
"119" "THREEPIO" "Oh, no! The Rancor!"
"120" "JABBA" "Bring me Solo and the Wookiee. They will all suffer for this outrage."
"121" "LUKE" "Han!"
"122" "HAN" "Luke!"
"123" "LUKE" "Are you all right?"
"124" "HAN" "Fine. Together again, huh?"
"125" "LUKE" "Wouldn't miss it."
"126" "HAN" "How are we doing?"
"127" "LUKE" "The same as always."
"128" "HAN" "That bad, huh? Where's Leia?"
"129" "LEIA" "I'm here."
"130" "THREEPIO" "Oh, dear. His High Exaltedness, the great Jabba the Hutt, has decreed that you are to be terminated immediately."
"131" "HAN" "Good, I hate long waits."
"132" "THREEPIO" "You will therefore be taken to the Dune Sea and cast into the pit of Carkoon, the nesting place of the all-powerful Sarlacc."
"133" "HAN" "Doesn't sound so bad."
"134" "THREEPIO" "In his belly, you will find a new definition of pain and suffering, as you are slowly digested over a thousand years."
"135" "HAN" "On second thought, let's pass on that, huh?"
"136" "LUKE" "You should have bargained, Jabba. That's the last mistake you'll ever make."
"137" "HAN" "I think my eyes are getting better. Instead of a big dark blur, I see a big light blur."
"138" "LUKE" "There's nothing to see. I used to live here, you know."
"139" "HAN" "You're gonna die here, you know. Convenient."
"140" "LUKE" "Just stick close to Chewie and Lando. I've taken care of everything."
"141" "HAN" "Oh... great!"
"142" "JABBA" "Soon you will learn to appreciate me."
"143" "THREEPIO" "Oh, I'm terribly sor... Artoo! What are you doing here?"
"144" "THREEPIO" "Well, I can see you're serving drinks, but this place is dangerous. They're going to execute Master Luke and, if we're not careful, us too!"
"145" "THREEPIO" "Hmm.  I wish I had your confidence."
"146" "THREEPIO" "Victims of the almighty Sarlacc: His Excellency hopes that you will die honorably. But should any of you wish to beg for mercy, the great Jabba the Hutt will now listen to your pleas."
"147" "HAN" "Threepio, you tell that slimy piece of... worm-ridden filth he'll get no such pleasure from us. Right?"
"148" "LUKE" "Jabba! This is your last chance. Free us or die."
"149" "JABBA" "Move him into position."
"150" "JABBA" "Put him in."
"151" "LUKE" "Easy, Chewie."
"152" "LANDO" "Whoa! Whoa! Help!"
"153" "HAN" "Chewie, you okay? Where is he?"
"154" "HAN" "I'm okay, pal."
"155" "LANDO" "Han! Chewie?"
"156" "HAN" "Lando!"
"157" "HAN" "Boba Fett?! Boba Fett?! Where?"
"158" "HAN" "Lando, grab it!"
"159" "LANDO" "Lower it!"
"160" "HAN" "I'm trying!"
"161" "HAN" "Whoa! Whoa! Grab me, Chewie! I'm slipping."
"162" "HAN" "Grab it! L--Lando. Grab!"
"163" "HAN" "Grab it! Almost... You almost got it!"
"164" "LANDO" "Hold it! Whoa!"
"165" "HAN" "Gently now. All... all right. Now easy, easy. Hold me, Chewie."
"166" "HAN" "Chewie! Chewie, give me the gun. Don't move, Lando."
"167" "LANDO" "No, wait! I thought you were blind!"
"168" "HAN" "It's all right. Trust me. Don't move."
"169" "LANDO" "All right! A little higher! Just a little higher!"
"170" "HAN" "Chewie, Pull us up! Come on! Okay... up, Chewie, up!"
"171" "LEIA" "Come on. We gotta get out of here quick."
"172" "THREEPIO" "Not my eyes! Artoo, help! Quickly, Artoo. Oh! Ohhh! You beast!"
"173" "LUKE" "Get the gun! Point it at the deck!"
"174" "LUKE" "Point it at the deck!"
