character,term,epIV,epV,epVI
ACKBAR,star,0,0,6
ACKBAR,death,0,0,5
ACKBAR,attack,0,0,4
ACKBAR,shield,0,0,4
ACKBAR,general,0,0,3
ACKBAR,calrissian,0,0,2
ACKBAR,close,0,0,2
ACKBAR,craft,0,0,2
ACKBAR,cruisers,0,0,2
ACKBAR,endor,0,0,2
BEN,luke,12,2,6
BEN,force,11,0,3
BEN,will,8,5,0
BEN,can,10,0,0
BEN,father,0,0,9
BEN,jedi,8,0,0
BEN,side,0,2,5
BEN,vader,0,2,5
BEN,emperor,0,2,4
BEN,became,0,0,6
BIGGS,luke,13,0,0
BIGGS,going,7,0,0
BIGGS,back,5,0,0
BIGGS,get,4,0,0
BIGGS,just,4,0,0
BIGGS,one,4,0,0
BIGGS,pull,4,0,0
BIGGS,right,4,0,0
BIGGS,side,4,0,0
BIGGS,come,3,0,0
CREATURE,jedi,0,5,0
CREATURE,mine,0,5,0
CREATURE,come,0,4,0
CREATURE,eat,0,4,0
CREATURE,will,0,4,0
CREATURE,food,0,3,0
CREATURE,good,0,3,0
CREATURE,help,0,3,0
CREATURE,patience,0,3,0
CREATURE,yes,0,3,0
EMPEROR,will,0,0,20
EMPEROR,now,0,0,8
EMPEROR,young,0,0,8
EMPEROR,friends,0,0,7
EMPEROR,skywalker,0,2,4
EMPEROR,side,0,0,6
EMPEROR,can,0,1,4
EMPEROR,good,0,0,5
EMPEROR,dark,0,0,4
EMPEROR,fleet,0,0,4
GOLD LEADER,leader,4,0,0
GOLD LEADER,gold,3,0,0
GOLD LEADER,red,2,0,0
GOLD LEADER,starting,2,0,0
GOLD LEADER,switch,2,0,0
GOLD LEADER,asking,1,0,0
GOLD LEADER,attack,1,0,0
GOLD LEADER,close,1,0,0
GOLD LEADER,coming,1,0,0
GOLD LEADER,computer,1,0,0
HAN,get,28,12,8
HAN,chewie,9,13,23
HAN,going,21,14,0
HAN,got,12,8,12
HAN,come,9,12,9
HAN,well,0,14,7
HAN,right,0,12,9
HAN,like,9,8,0
HAN,kid,14,0,0
HAN,hey,0,0,9
JABBA,will,0,0,6
JABBA,han,5,0,0
JABBA,solo,0,0,3
JABBA,best,2,0,0
JABBA,boy,2,0,0
JABBA,business,2,0,0
JABBA,disappoint,2,0,0
JABBA,fry,2,0,0
JABBA,put,2,0,0
JABBA,shipment,2,0,0
